Boomnummer,Maatregel,Boomsoort in veld gemuteerd,Diameter afgestorven tak,Kroonsterfte,Leeftijd,Mate van hergroei,Netto ontbladering,Risicoprofiel,Straat,LAT,LON
25176,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,Ouder dan 40 jaar,Minimaal,76-99%,Categorie I,Waterlinieweg,52.05853674,5.123701884
25171,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,Ouder dan 40 jaar,Minimaal,76-99%,Categorie I,Waterlinieweg,52.05856605,5.123703359
25165,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,Ouder dan 40 jaar,Minimaal,76-99%,Categorie I,Waterlinieweg,52.0587175,5.12374312
25083,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,Ouder dan 40 jaar,Minimaal,76-99%,Categorie I,Waterlinieweg,52.06877351,5.129152854
25077,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is dood,16 tot 40 jaar,Niet van toepassing,100%,Categorie I,Sudeten,52.0599076,5.135794326
25055,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is afstervend,Ouder dan 40 jaar,Matig,76-99%,Categorie I,Landgoed Amelisweerd,52.06791657,5.163182735
25054,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,Ouder dan 40 jaar,Matig,26-50%,Categorie I,Landgoed Amelisweerd,52.06794387,5.163195884
25013,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,16 tot 40 jaar,Minimaal,51-75%,Categorie III,Beatrixpark,52.06926896,5.133023297
25002,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,16 tot 40 jaar,Matig,26-50%,Categorie III,Park de Koppel,52.05833409,5.142453547
24999,Bomen rooien,Fraxinus excelsior,,,Ouder dan 40 jaar,,,Categorie I,Waterlinieweg,52.06597399,5.127208693
24978,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,16 tot 40 jaar,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.06972859,5.165735004
24977,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,16 tot 40 jaar,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.06974393,5.165676429
24970,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,Ouder dan 40 jaar,Matig,1-5%,Categorie I,Landgoed Amelisweerd,52.06941811,5.166246419
24968,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,16 tot 40 jaar,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.06932634,5.166224747
24957,Bomen rooien,Fraxinus excelsior,< 4 cm,Geen sterfte,16 tot 40 jaar,Niet van toepassing,1-5%,Categorie I,Landgoed Amelisweerd,52.06934846,5.168123362
24954,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,16 tot 40 jaar,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.07016987,5.168833387
24952,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,16 tot 40 jaar,Minimaal,76-99%,Categorie I,2e Polderweg,52.12571203,5.081453328
24910,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,16 tot 40 jaar,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.06757591,5.174097203
24909,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,16 tot 40 jaar,Minimaal,26-50%,Categorie I,Landgoed Amelisweerd,52.06758003,5.17412199
24879,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,16 tot 40 jaar,Minimaal,51-75%,Categorie I,Gageldijk,52.12324093,5.116076399
24878,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,16 tot 40 jaar,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.07081309,5.173592564
24858,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,16 tot 40 jaar,Minimaal,26-50%,Categorie I,Indusdreef,52.12361118,5.103039876
24836,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,16 tot 40 jaar,Minimaal,76-99%,Categorie I,Kapelweg,52.1146586,5.13823532
