Boomnummer,Maatregel,Boomsoort in veld gemuteerd,Diameter afgestorven tak,Kroonsterfte,Leeftijd,Mate van hergroei,Netto ontbladering,Risicoprofiel,Straat,LAT,LON
2941549,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,22,Minimaal,51-75%,Categorie II,Park de Koppel,52.05680382,5.125902849
2922785,Bomen rooien,Fraxinus americana 'Autumn Applause',< 4 cm,Boom is afstervend,4,Minimaal,1-5%,Categorie I,Weg naar Rhijnauwen,52.08395797,5.16025264
2016242,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Vechtdijk,52.1208997,5.076563079
2016211,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,52,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.0719795,5.15518426
2016154,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,26,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06950618,5.164612927
2016153,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,47,Minimaal,1-5%,Categorie I,Overste den Oudenlaan,52.07960532,5.102260915
2016138,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Matige sterfte,19,Minimaal,51-75%,Categorie I,Huurweerstraat,52.09946464,5.108425312
2016058,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,33,Minimaal,26-50%,Categorie III,Landgoed Amelisweerd,52.07570821,5.181884486
2015977,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Lichte sterfte,38,Minimaal,6-25%,Categorie I,Dianadreef,52.11663536,5.129218771
2015940,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,23,Minimaal,26-50%,Categorie I,Landgoed Amelisweerd,52.0686,5.177447864
2015920,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,6,Minimaal,26-50%,Categorie II,Dorpsstraat,52.10550568,5.000052646
2015898,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,4,Minimaal,76-99%,Categorie I,Rio Brancodreef,52.12414263,5.094069838
2015619,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Nedereindseplas,52.02972172,5.062285035
2015495,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Boom is afstervend,37,Minimaal,76-99%,Categorie I,Nedereindseweg,52.04607368,5.04783919
2015409,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,54,Minimaal,6-25%,Categorie I,Landgoed Amelisweerd,52.07011589,5.160533432
2015387,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Vechtdijk,52.12188314,5.075225728
2015343,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,37,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.07160535,5.153698496
2015190,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,23,Goed,6-25%,Categorie I,Landgoed Amelisweerd,52.06789338,5.161126592
2014916,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,48,Goed,1-5%,Categorie I,Landgoed Amelisweerd,52.07771656,5.169883187
2014851,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,15,Matig,26-50%,Categorie II,Dianadreef,52.11714838,5.129872381
2014801,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,50,Matig,6-25%,Categorie I,Landgoed Amelisweerd,52.06921135,5.166511842
2014687,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,27,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06782786,5.161647575
2014453,Bomen rooien,Fraxinus excelsior 'Jaspidea',< 4 cm,Ernstige sterfte,70,Matig,51-75%,Categorie I,Julianapark,52.10671517,5.087132973
2014429,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,43,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.06703983,5.162233441
2014346,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,54,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.07158071,5.154416223
2014147,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Ernstige sterfte,14,Minimaal,51-75%,Categorie I,Nedereindseplas,52.03602808,5.059652156
2013852,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Boom is afstervend,47,Minimaal,76-99%,Categorie I,Nedereindseweg,52.04258541,5.059175086
2013806,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,37,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04679127,5.045374415
2013647,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,30,Matig,51-75%,Categorie II,Landgoed Amelisweerd,52.06680777,5.162619619
2013637,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,4,Minimaal,26-50%,Categorie I,Lessinglaan,52.08832983,5.083036507
2013357,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,59,Minimaal,6-25%,Categorie I,Postmalaan,52.0778948,5.102633429
2013177,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04798751,5.064003879
2013118,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,45,Matig,26-50%,Categorie I,Landgoed Amelisweerd,52.06747529,5.169163018
2012884,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Boom is afstervend,16,Minimaal,76-99%,Categorie I,Birstumerraklaan,52.08543875,5.059635749
2012513,Bomen rooien,Fraxinus americana,< 4 cm,Ernstige sterfte,10,Minimaal,51-75%,Categorie III,Aart van der Leeuwlaan,52.08446665,5.048931635
2012475,Bomen rooien,Fraxinus cultivar onbekend,< 4 cm,Ernstige sterfte,22,Minimaal,51-75%,Categorie I,Nedereindseweg,52.03718848,5.059502884
2012471,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,38,Matig,6-25%,Categorie I,Landgoed Amelisweerd,52.0702895,5.176395669
2012331,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04426142,5.054809838
2012293,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,23,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06767063,5.163089271
2012277,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,4,Matig,26-50%,Categorie II,Bruisdreef,52.10905776,5.112946065
2012094,Bomen rooien,Fraxinus americana 'Autumn Applause',< 4 cm,Boom is afstervend,4,Minimaal,6-25%,Categorie I,Weg naar Rhijnauwen,52.0839063,5.160163907
2011999,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,23,Minimaal,26-50%,Categorie I,Ringkade,52.05022795,5.064090048
2011960,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Matig,6-25%,Categorie II,Landgoed Amelisweerd,52.06907199,5.166486277
2011896,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Lichte sterfte,57,Minimaal,6-25%,Categorie I,Koningin Wilhelminalaan,52.07691423,5.107301844
2011742,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,32,Matig,51-75%,Categorie III,Park de Koppel,52.05986067,5.142650247
2011186,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Da Costakade,52.08207432,5.114174863
2011102,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,30,Matig,26-50%,Categorie I,Landgoed Amelisweerd,52.06955572,5.166098857
2010965,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,37,Minimaal,26-50%,Categorie III,Lo Bruntpad,52.09737531,5.149161908
2010935,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,67,Niet van toepassing,51-75%,Categorie I,Landgoed Amelisweerd,52.06751446,5.162267516
2010757,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,48,Matig,51-75%,Categorie II,Landgoed Amelisweerd,52.07556647,5.169608897
2010716,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,5,Minimaal,26-50%,Categorie I,Langerakbaan,52.08652481,5.070368259
2010456,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04658746,5.063852321
2010340,Bomen rooien,Fraxinus excelsior 'Pendula',< 4 cm,Matige sterfte,32,Matig,26-50%,Categorie III,Julianapark,52.10567765,5.09031511
2010278,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,47,Matig,1-5%,Categorie I,Park Transwijk,52.06902859,5.106499134
2010144,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04600281,5.063927387
2010101,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04237562,5.059723071
2009871,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.05216443,5.06424592
2009742,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.05463929,5.065027627
2009477,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.05125658,5.064032475
2009393,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,33,Matig,26-50%,Categorie III,Mytylweg,52.07555476,5.153949347
2009310,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Nedereindseplas,52.03005872,5.062493592
2009181,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04634799,5.063840494
2009051,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04435563,5.063759257
2008695,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.05524491,5.06528746
2008677,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06951462,5.165750487
2008593,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,8,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.07706173,5.16854202
2008468,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,8,Minimaal,76-99%,Categorie I,Landgoed Amelisweerd,52.07587191,5.18654944
2008445,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,28,Minimaal,51-75%,Categorie III,Mytylweg,52.07566675,5.155540459
2008416,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,48,Matig,51-75%,Categorie III,Oostbroekselaan,52.09467539,5.155293312
2008206,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,28,Minimaal,76-99%,Categorie II,Landgoed Amelisweerd,52.07048433,5.170529556
2008167,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04984088,5.064073015
2007853,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04628013,5.063840546
2007835,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,34,Minimaal,51-75%,Categorie III,Landgoed Amelisweerd,52.06891321,5.165692208
2007538,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',>10 cm,Geen sterfte,47,Niet van toepassing,1-5%,Categorie I,Atlasdreef,52.11654461,5.130470662
2007475,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,8,Goed,1-5%,Categorie I,Moreelsepark,52.08664109,5.115113887
2007369,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,57,Minimaal,51-75%,Categorie I,Oudegracht aan de Werf,52.09303438,5.116789449
2007348,Bomen rooien,Fraxinus excelsior,,,75,,,Categorie I,Landgoed Amelisweerd,52.06999641,5.15230529
2007320,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04734874,5.063976856
2007221,Bomen rooien,Fraxinus excelsior,>10 cm,Matige sterfte,28,Minimaal,6-25%,Categorie I,Landgoed Amelisweerd,52.07110763,5.167848703
2007053,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,29,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.06878008,5.163260188
2006789,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Matige sterfte,16,Minimaal,26-50%,Categorie I,Birstumerraklaan,52.08534784,5.059621971
2006745,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Ernstige sterfte,27,Matig,51-75%,Categorie I,C.H. Letschertweg,52.07420974,5.028672599
2006698,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Minaretdreef,52.12450404,5.102509832
2006410,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,40,Goed,6-25%,Categorie I,Landgoed Amelisweerd,52.07030691,5.162468756
2006205,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,28,Minimaal,51-75%,Categorie II,Landgoed Amelisweerd,52.07031149,5.171366108
2006188,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,8,Minimaal,26-50%,Categorie III,Máximapark,52.09489145,5.018467389
2006085,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,32,Matig,6-25%,Categorie II,Park de Koppel,52.05976424,5.143087489
2005976,Bomen rooien,Fraxinus angustifolia,< 4 cm,Lichte sterfte,22,Minimaal,6-25%,Categorie III,Kloosterpark,52.07502922,5.031381604
2005928,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,52,Goed,1-5%,Categorie I,Zuilenselaan,52.12352507,5.064336551
2005840,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04453534,5.063774576
2005616,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,48,Minimaal,100%,Categorie III,Oostbroekselaan,52.09437177,5.155611695
2005511,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,26-50%,Categorie I,C.H. Letschertweg,52.07229602,5.041741919
2005403,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,52,Matig,26-50%,Categorie I,Vestadreef,52.1114013,5.129478463
2005314,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04447726,5.063767125
2005282,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,6,Minimaal,26-50%,Categorie III,Parkweg,52.10423325,5.002197319
2005030,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is afstervend,47,Minimaal,76-99%,Categorie I,Oostbroekselaan,52.09649161,5.156440864
2004959,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Matig,26-50%,Categorie II,Landgoed Amelisweerd,52.06905303,5.165484416
2004910,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04914316,5.063953261
2004648,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,32,Minimaal,76-99%,Categorie I,Ringkade,52.04504483,5.063886345
2004568,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,48,Minimaal,51-75%,Categorie I,Meentpark,52.07309263,5.040330419
2004509,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,27,Matig,51-75%,Categorie I,Einthovendreef-zuid,52.12042547,5.141185126
2004417,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,24,Matig,1-5%,Categorie III,Landgoed Amelisweerd,52.07143792,5.153571019
2004320,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,27,Minimaal,1-5%,Categorie I,Koppeldijk,52.05784043,5.137173049
2004264,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie II,Beatrixpark,52.07061068,5.132455511
2003905,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,32,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.0683684,5.160424148
2003684,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,32,Matig,26-50%,Categorie I,Park de Koppel,52.05989779,5.142646836
2003671,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04971091,5.063974966
2003667,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,32,Minimaal,76-99%,Categorie I,Ringkade,52.05273708,5.064414991
2003548,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04290423,5.058534321
2003535,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,28,Matig,51-75%,Categorie I,C.H. Letschertweg,52.06950236,5.066919904
2003187,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,10,Minimaal,100%,Categorie II,Máximapark,52.10530764,5.026041668
2003145,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,53,Minimaal,51-75%,Categorie I,Landgoed Amelisweerd,52.07850605,5.171386687
2003098,Bomen rooien,Fraxinus excelsior 'Diversifolia',< 4 cm,Lichte sterfte,37,Minimaal,26-50%,Categorie I,Marelaan,52.07643725,5.030859571
2002975,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04747738,5.063886421
2002955,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Grebbeberglaan,52.07844744,5.099434503
2002648,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,32,Minimaal,76-99%,Categorie I,Ringkade,52.04990769,5.063985063
2002564,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,17,Minimaal,26-50%,Categorie I,Nedereindseplas,52.03053231,5.053649033
2002436,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,47,Minimaal,1-5%,Categorie I,Grebbeberglaan,52.07864286,5.099628429
2002317,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,26,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.06760895,5.162799358
2002191,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie II,Manitobadreef,52.12713908,5.078643633
2002037,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04510641,5.063892022
2001641,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,25,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.07059666,5.167123416
2001614,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,21,Minimaal,51-75%,Categorie I,Vivaldiplantsoen,52.08179218,5.091555525
2001507,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04684041,5.063859824
2001401,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie III,Landgoed Amelisweerd,52.06890697,5.165724325
2001358,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,25,Minimaal,51-75%,Categorie II,Landgoed Amelisweerd,52.0696114,5.164643032
2001159,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,27,Minimaal,26-50%,Categorie I,Brasemstraat,52.0652379,5.115256246
2000887,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Lichte sterfte,47,Minimaal,6-25%,Categorie I,Winterboeidreef,52.10743095,5.11435196
2000849,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,7,Minimaal,26-50%,Categorie I,Park de Koppel,52.05677996,5.137744257
2000624,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,68,Matig,26-50%,Categorie I,Landgoed Amelisweerd,52.07654482,5.185848731
2000228,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,6,Minimaal,26-50%,Categorie III,Parkweg,52.10387035,5.001852477
2000028,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Hollantlaan,52.06196522,5.103542114
2000009,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Boom is dood,2,Niet van toepassing,100%,Categorie I,Marco Pololaan,52.06680951,5.097581935
1999981,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04779865,5.06399737
1999887,Bomen rooien,Fraxinus angustifolia 'Raywood',4-10 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Hollantlaan,52.06182243,5.104752756
1999834,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04422157,5.063742442
1999705,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,42,Niet van toepassing,51-75%,Categorie I,Van Bijnkershoeklaan,52.08005126,5.096208968
1999676,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,28,Goed,1-5%,Categorie I,Beatrixpark,52.06916446,5.13086338
1999648,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,51-75%,Categorie I,Park de Koppel,52.05784099,5.141930194
1999637,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04722182,5.063975293
1999607,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie III,Floridadreef,52.12958412,5.090101345
1999574,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04606817,5.063932017
1999331,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,29,Minimaal,76-99%,Categorie III,Landgoed Amelisweerd,52.07184473,5.153392412
1999257,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie II,Waterlinieweg,52.06643054,5.126882677
1999168,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04843516,5.064018287
1999046,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is afstervend,32,Minimaal,76-99%,Categorie I,Ringkade,52.04555731,5.063811656
1998857,Bomen rooien,Fraxinus excelsior,>10 cm,Lichte sterfte,42,Minimaal,6-25%,Categorie I,Mauritspark,52.07398818,5.037130126
1998805,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,32,Minimaal,26-50%,Categorie III,Rijksstraatweg,52.07881182,5.07155941
1998760,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04549276,5.063905559
1998407,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,31,Minimaal,1-5%,Categorie II,Landgoed Amelisweerd,52.06795725,5.161156896
1998114,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,Park de Gagel,52.12022035,5.100028047
1997873,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,48,Minimaal,51-75%,Categorie I,Albert van Dalsumlaan,52.08890887,5.154993596
1997856,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04508859,5.052173179
1997839,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,42,Matig,1-5%,Categorie I,Landgoed Amelisweerd,52.06987879,5.162036863
1997806,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,41,Matig,6-25%,Categorie I,Landgoed Amelisweerd,52.06766037,5.162893896
1997482,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,43,Minimaal,76-99%,Categorie I,Hof ter Weydeweg,52.10105399,5.036958069
1997236,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Hollantlaan,52.06187807,5.10426988
1997019,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Ernstige sterfte,37,Minimaal,51-75%,Categorie I,Nedereindseweg,52.04556451,5.047872785
1996711,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,34,Minimaal,51-75%,Categorie I,Kloosterpark,52.0754206,5.027455559
1996574,Bomen rooien,Fraxinus excelsior,>10 cm,Matige sterfte,48,Matig,51-75%,Categorie I,Park Bloeyendael,52.09662692,5.151691734
1996471,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,9,Minimaal,51-75%,Categorie I,Máximapark,52.11545086,5.028455814
1996220,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,24,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.07099282,5.167489014
1996182,Bomen rooien,Fraxinus cultivar onbekend,< 4 cm,Matige sterfte,12,Matig,51-75%,Categorie I,Koningsweg,52.07302968,5.147333262
1996140,Bomen rooien,Fraxinus excelsior,< 4 cm,Boom is dood,3,Minimaal,100%,Categorie III,Maarschalkerweerdpad,52.06891047,5.14598644
1995760,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04696914,5.063868662
1995606,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,42,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.07151873,5.153983361
1995352,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,24,Minimaal,26-50%,Categorie I,Ringkade,52.04542966,5.063903537
1995250,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04594169,5.06382885
1994934,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04600299,5.063829865
1994863,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,52,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.06945079,5.159612135
1994792,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,48,Matig,6-25%,Categorie I,Landgoed Amelisweerd,52.07752351,5.170279002
1994640,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Matige sterfte,15,Niet van toepassing,26-50%,Categorie I,Da Costakade,52.0790832,5.116913738
1994625,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06969589,5.16464407
